대한항공,삼성화재,KB손해보험,현대캐피탈,한국전력,OK금융그룹,우리카드
0,8,12,14,6,9,12
23,0,10,18,10,19,17
16,17,0,13,14,14,18
21,10,16,0,11,8,12
21,19,14,16,0,17,22
19,9,16,20,12,0,18
21,11,11,19,6,11,0
