경기 No.,경기일자,상대팀,세트스코어,득점,실점,경기시간,승패,시즌,홈팀
72,2017.12.01,현대캐피탈,0:3,59,75,1h 18m,lose,014,KB손해보험
102,2017.12.22,현대캐피탈,3:2,105,106,2h 16m,win,014,KB손해보험
143,2018.01.17,현대캐피탈,0:3,60,75,1h 24m,lose,014,KB손해보험
168,2018.02.08,현대캐피탈,3:1,97,81,1h 44m,win,014,KB손해보험
216,2018.03.14,현대캐피탈,3:1,100,78,1h 50m,win,014,KB손해보험
11,2017.10.21,한국전력,1:3,84,95,1h 50m,lose,014,KB손해보험
65,2017.11.26,한국전력,1:3,87,94,1h 52m,lose,014,KB손해보험
98,2017.12.19,한국전력,1:3,99,97,2h 18m,lose,014,KB손해보험
135,2018.01.12,한국전력,3:0,85,70,1h 31m,win,014,KB손해보험
159,2018.02.03,한국전력,3:2,116,105,2h 14m,win,014,KB손해보험
209,2018.03.09,한국전력,3:2,99,98,2h 04m,win,014,KB손해보험
31,2017.11.04,OK금융그룹,3:2,103,99,1h 59m,win,014,KB손해보험
38,2017.11.08,OK금융그룹,2:3,110,112,2h 12m,lose,014,KB손해보험
78,2017.12.05,OK금융그룹,3:2,109,102,2h 07m,win,014,KB손해보험
109,2017.12.26,OK금융그룹,1:3,99,99,1h 53m,lose,014,KB손해보험
147,2018.01.25,OK금융그룹,3:1,97,90,1h 48m,win,014,KB손해보험
197,2018.02.28,OK금융그룹,3:1,94,88,1h 43m,win,014,KB손해보험
28,2017.11.01,우리카드,1:3,115,119,2h 17m,lose,014,KB손해보험
45,2017.11.12,우리카드,3:1,100,88,1h 52m,win,014,KB손해보험
82,2017.12.08,우리카드,3:0,75,62,1h 23m,win,014,KB손해보험
114,2017.12.30,우리카드,3:1,93,90,1h 50m,win,014,KB손해보험
154,2018.01.30,우리카드,0:3,56,75,1h 20m,lose,014,KB손해보험
203,2018.03.04,우리카드,1:3,88,99,1h 55m,lose,014,KB손해보험
1,2017.10.14,대한항공,3:1,104,100,2h 04m,win,014,현대캐피탈
68,2017.11.28,대한항공,2:3,105,106,2h 06m,lose,014,현대캐피탈
107,2017.12.25,대한항공,3:0,75,59,1h 22m,win,014,현대캐피탈
136,2018.01.13,대한항공,3:1,95,94,1h 55m,win,014,현대캐피탈
149,2018.01.27,대한항공,0:3,64,77,1h 26m,lose,014,현대캐피탈
200,2018.03.02,대한항공,1:3,86,96,1h 47m,lose,014,현대캐피탈
224,2018.03.24,대한항공,3:2,110,116,2h 19m,win,014,현대캐피탈
226,2018.03.26,대한항공,0:3,67,77,1h 28m,lose,014,현대캐피탈
228,2018.03.28,대한항공,0:3,64,76,1h 26m,lose,014,현대캐피탈
229,2018.03.30,대한항공,0:3,59,75,1h 22m,lose,014,현대캐피탈
30,2017.11.03,삼성화재,1:3,95,105,2h 03m,lose,014,현대캐피탈
49,2017.11.15,삼성화재,0:3,64,75,1h 21m,lose,014,현대캐피탈
80,2017.12.06,삼성화재,3:0,75,61,1h 16m,win,014,현대캐피탈
118,2018.01.01,삼성화재,3:1,97,88,1h 49m,win,014,현대캐피탈
180,2018.02.16,삼성화재,3:2,129,121,2h 34m,win,014,현대캐피탈
186,2018.02.20,삼성화재,2:3,105,103,2h 06m,lose,014,현대캐피탈
8,2017.10.18,KB손해보험,0:3,61,81,1h 25m,lose,014,현대캐피탈
72,2017.12.01,KB손해보험,3:0,75,59,1h 18m,win,014,현대캐피탈
102,2017.12.22,KB손해보험,2:3,106,105,2h 16m,lose,014,현대캐피탈
143,2018.01.17,KB손해보험,3:0,75,60,1h 24m,win,014,현대캐피탈
168,2018.02.08,KB손해보험,1:3,81,97,1h 44m,lose,014,현대캐피탈
216,2018.03.14,KB손해보험,1:3,78,100,1h 50m,lose,014,현대캐피탈
19,2017.10.26,한국전력,0:3,64,75,1h 23m,lose,014,현대캐피탈
61,2017.11.23,한국전력,3:0,75,55,1h 14m,win,014,현대캐피탈
92,2017.12.14,한국전력,3:0,75,52,1h 14m,win,014,현대캐피탈
130,2018.01.09,한국전력,3:1,97,82,1h 45m,win,014,현대캐피탈
156,2018.01.31,한국전력,3:0,75,58,1h 24m,win,014,현대캐피탈
206,2018.03.06,한국전력,0:3,57,75,1h 17m,lose,014,현대캐피탈
26,2017.10.31,OK금융그룹,3:1,97,84,1h 45m,win,014,현대캐피탈
42,2017.11.11,OK금융그룹,3:1,95,83,1h 42m,win,014,현대캐피탈
83,2017.12.09,OK금융그룹,3:1,96,88,1h 43m,win,014,현대캐피탈
113,2017.12.29,OK금융그룹,3:0,75,57,1h 17m,win,014,현대캐피탈
161,2018.02.04,OK금융그룹,3:0,75,59,1h 12m,win,014,현대캐피탈
210,2018.03.10,OK금융그룹,2:3,105,106,2h 01m,lose,014,현대캐피탈
13,2017.10.22,우리카드,3:1,100,95,2h 09m,win,014,현대캐피탈
55,2017.11.19,우리카드,3:1,97,79,1h 36m,win,014,현대캐피탈
96,2017.12.17,우리카드,2:3,110,112,2h 19m,lose,014,현대캐피탈
124,2018.01.05,우리카드,3:0,75,64,1h 20m,win,014,현대캐피탈
175,2018.02.13,우리카드,3:1,95,84,1h 45m,win,014,현대캐피탈
193,2018.02.25,우리카드,3:0,87,81,1h 41m,win,014,현대캐피탈
29,2017.11.02,대한항공,2:3,112,122,2h 38m,lose,014,한국전력
47,2017.11.14,대한항공,0:3,52,75,1h 15m,lose,014,한국전력
81,2017.12.07,대한항공,1:3,86,98,1h 57m,lose,014,한국전력
116,2017.12.31,대한항공,3:0,76,68,1h 25m,win,014,한국전력
170,2018.02.10,대한항공,1:3,87,102,1h 57m,lose,014,한국전력
190,2018.02.22,대한항공,2:3,105,107,2h 15m,lose,014,한국전력
23,2017.10.29,삼성화재,0:3,52,75,1h 18m,lose,014,한국전력
53,2017.11.18,삼성화재,0:3,70,83,1h 29m,lose,014,한국전력
85,2017.12.10,삼성화재,3:1,101,90,1h 55m,win,014,한국전력
123,2018.01.04,삼성화재,3:2,113,104,2h 15m,win,014,한국전력
166,2018.02.07,삼성화재,3:2,101,97,2h 04m,win,014,한국전력
215,2018.03.13,삼성화재,3:0,79,69,1h 27m,win,014,한국전력
11,2017.10.21,KB손해보험,3:1,95,84,1h 50m,win,014,한국전력
65,2017.11.26,KB손해보험,3:1,94,87,1h 52m,win,014,한국전력
98,2017.12.19,KB손해보험,3:1,97,99,2h 18m,win,014,한국전력
135,2018.01.12,KB손해보험,0:3,70,85,1h 31m,lose,014,한국전력
159,2018.02.03,KB손해보험,2:3,105,116,2h 14m,lose,014,한국전력
209,2018.03.09,KB손해보험,2:3,98,99,2h 04m,lose,014,한국전력
19,2017.10.26,현대캐피탈,3:0,75,64,1h 23m,win,014,한국전력
61,2017.11.23,현대캐피탈,0:3,55,75,1h 14m,lose,014,한국전력
92,2017.12.14,현대캐피탈,0:3,52,75,1h 14m,lose,014,한국전력
130,2018.01.09,현대캐피탈,1:3,82,97,1h 45m,lose,014,한국전력
156,2018.01.31,현대캐피탈,0:3,58,75,1h 24m,lose,014,한국전력
206,2018.03.06,현대캐피탈,3:0,75,57,1h 17m,win,014,한국전력
6,2017.10.17,OK금융그룹,2:3,101,105,2h 07m,lose,014,한국전력
71,2017.11.30,OK금융그룹,3:0,77,67,1h 17m,win,014,한국전력
103,2017.12.23,OK금융그룹,3:1,105,90,1h 58m,win,014,한국전력
141,2018.01.16,OK금융그룹,3:0,75,59,1h 16m,win,014,한국전력
177,2018.02.14,OK금융그룹,3:0,75,68,1h 23m,win,014,한국전력
181,2018.02.17,OK금융그룹,1:3,94,95,1h 56m,lose,014,한국전력
33,2017.11.05,우리카드,3:1,106,92,2h 02m,win,014,한국전력
40,2017.11.09,우리카드,0:3,70,78,1h 30m,lose,014,한국전력
75,2017.12.03,우리카드,2:3,114,114,2h 15m,lose,014,한국전력
111,2017.12.27,우리카드,3:2,101,102,2h 08m,win,014,한국전력
148,2018.01.26,우리카드,0:3,56,75,1h 21m,lose,014,한국전력
198,2018.03.01,우리카드,3:1,94,85,1h 47m,win,014,한국전력
16,2017.10.24,대한항공,1:3,92,97,1h 50m,lose,014,OK금융그룹
58,2017.11.21,대한항공,3:1,108,100,2h 05m,win,014,OK금융그룹
94,2017.12.16,대한항공,2:3,109,118,2h 13m,lose,014,OK금융그룹
125,2018.01.06,대한항공,1:3,84,98,1h 50m,lose,014,OK금융그룹
157,2018.02.01,대한항공,0:3,63,76,1h 22m,lose,014,OK금융그룹
207,2018.03.07,대한항공,3:2,108,96,2h 02m,win,014,OK금융그룹
10,2017.10.20,삼성화재,3:1,95,86,1h 42m,win,014,OK금융그룹
63,2017.11.25,삼성화재,0:3,57,75,1h 13m,lose,014,OK금융그룹
100,2017.12.20,삼성화재,0:3,71,83,1h 34m,lose,014,OK금융그룹
134,2018.01.11,삼성화재,2:3,102,111,2h 03m,lose,014,OK금융그룹
151,2018.01.28,삼성화재,2:3,102,109,2h 07m,lose,014,OK금융그룹
201,2018.03.03,삼성화재,0:3,57,75,1h 12m,lose,014,OK금융그룹
31,2017.11.04,KB손해보험,2:3,99,103,1h 59m,lose,014,OK금융그룹
38,2017.11.08,KB손해보험,3:2,112,110,2h 12m,win,014,OK금융그룹
78,2017.12.05,KB손해보험,2:3,102,109,2h 07m,lose,014,OK금융그룹
109,2017.12.26,KB손해보험,3:1,99,99,1h 53m,win,014,OK금융그룹
147,2018.01.25,KB손해보험,1:3,90,97,1h 48m,lose,014,OK금융그룹
197,2018.02.28,KB손해보험,1:3,88,94,1h 43m,lose,014,OK금융그룹
26,2017.10.31,현대캐피탈,1:3,84,97,1h 45m,lose,014,OK금융그룹
42,2017.11.11,현대캐피탈,1:3,83,95,1h 42m,lose,014,OK금융그룹
83,2017.12.09,현대캐피탈,1:3,88,96,1h 43m,lose,014,OK금융그룹
113,2017.12.29,현대캐피탈,0:3,57,75,1h 17m,lose,014,OK금융그룹
161,2018.02.04,현대캐피탈,0:3,59,75,1h 12m,lose,014,OK금융그룹
210,2018.03.10,현대캐피탈,3:2,106,105,2h 01m,win,014,OK금융그룹
6,2017.10.17,한국전력,3:2,105,101,2h 07m,win,014,OK금융그룹
71,2017.11.30,한국전력,0:3,67,77,1h 17m,lose,014,OK금융그룹
103,2017.12.23,한국전력,1:3,90,105,1h 58m,lose,014,OK금융그룹
141,2018.01.16,한국전력,0:3,59,75,1h 16m,lose,014,OK금융그룹
177,2018.02.14,한국전력,0:3,68,75,1h 23m,lose,014,OK금융그룹
181,2018.02.17,한국전력,3:1,95,94,1h 56m,win,014,OK금융그룹
20,2017.10.27,우리카드,2:3,100,108,1h 59m,lose,014,OK금융그룹
51,2017.11.16,우리카드,1:3,90,99,1h 54m,lose,014,OK금융그룹
90,2017.12.13,우리카드,0:3,55,75,1h 13m,lose,014,OK금융그룹
120,2018.01.02,우리카드,0:3,75,86,1h 33m,lose,014,OK금융그룹
169,2018.02.09,우리카드,3:0,75,58,1h 15m,win,014,OK금융그룹
188,2018.02.21,우리카드,3:0,75,55,1h 14m,win,014,OK금융그룹
9,2017.10.19,대한항공,1:3,76,97,1h 45m,lose,014,우리카드
62,2017.11.24,대한항공,0:3,70,79,1h 32m,lose,014,우리카드
101,2017.12.21,대한항공,2:3,97,109,2h 03m,lose,014,우리카드
132,2018.01.10,대한항공,3:0,75,62,1h 24m,win,014,우리카드
164,2018.02.06,대한항공,2:3,105,99,2h 02m,lose,014,우리카드
212,2018.03.11,대한항공,3:0,76,55,1h 15m,win,014,우리카드
18,2017.10.25,삼성화재,2:3,107,113,2h 10m,lose,014,우리카드
70,2017.11.29,삼성화재,1:3,85,98,1h 45m,lose,014,우리카드
105,2017.12.24,삼성화재,2:3,102,101,2h 02m,lose,014,우리카드
138,2018.01.14,삼성화재,2:3,100,109,2h 04m,lose,014,우리카드
158,2018.02.02,삼성화재,2:3,106,108,2h 06m,lose,014,우리카드
208,2018.03.08,삼성화재,3:1,97,82,1h 40m,win,014,우리카드
28,2017.11.01,KB손해보험,3:1,119,115,2h 17m,win,014,우리카드
45,2017.11.12,KB손해보험,1:3,88,100,1h 52m,lose,014,우리카드
82,2017.12.08,KB손해보험,0:3,62,75,1h 23m,lose,014,우리카드
114,2017.12.30,KB손해보험,1:3,90,93,1h 50m,lose,014,우리카드
154,2018.01.30,KB손해보험,3:0,75,56,1h 20m,win,014,우리카드
203,2018.03.04,KB손해보험,3:1,99,88,1h 55m,win,014,우리카드
13,2017.10.22,현대캐피탈,1:3,95,100,2h 09m,lose,014,우리카드
55,2017.11.19,현대캐피탈,1:3,79,97,1h 36m,lose,014,우리카드
96,2017.12.17,현대캐피탈,3:2,112,110,2h 19m,win,014,우리카드
124,2018.01.05,현대캐피탈,0:3,64,75,1h 20m,lose,014,우리카드
175,2018.02.13,현대캐피탈,1:3,84,95,1h 45m,lose,014,우리카드
193,2018.02.25,현대캐피탈,0:3,81,87,1h 41m,lose,014,우리카드
33,2017.11.05,한국전력,1:3,92,106,2h 02m,lose,014,우리카드
40,2017.11.09,한국전력,3:0,78,70,1h 30m,win,014,우리카드
75,2017.12.03,한국전력,3:2,114,114,2h 15m,win,014,우리카드
111,2017.12.27,한국전력,2:3,102,101,2h 08m,lose,014,우리카드
148,2018.01.26,한국전력,3:0,75,56,1h 21m,win,014,우리카드
198,2018.03.01,한국전력,1:3,85,94,1h 47m,lose,014,우리카드
20,2017.10.27,OK금융그룹,3:2,108,100,1h 59m,win,014,우리카드
51,2017.11.16,OK금융그룹,3:1,99,90,1h 54m,win,014,우리카드
90,2017.12.13,OK금융그룹,3:0,75,55,1h 13m,win,014,우리카드
120,2018.01.02,OK금융그룹,3:0,86,75,1h 33m,win,014,우리카드
169,2018.02.09,OK금융그룹,0:3,58,75,1h 15m,lose,014,우리카드
188,2018.02.21,OK금융그룹,0:3,55,75,1h 14m,lose,014,우리카드
18,2018.10.27,삼성화재,3:1,100,91,1h 54m,win,015,대한항공
64,2018.11.25,삼성화재,3:0,75,56,1h 19m,win,015,대한항공
81,2018.12.06,삼성화재,1:3,92,92,1h 57m,lose,015,대한항공
124,2019.01.04,삼성화재,3:2,112,107,2h 17m,win,015,대한항공
180,2019.02.15,삼성화재,3:2,105,101,2h 09m,win,015,대한항공
190,2019.02.22,삼성화재,3:1,94,77,1h 50m,win,015,대한항공
4,2018.10.16,KB손해보험,3:0,78,66,1h 27m,win,015,대한항공
56,2018.11.19,KB손해보험,3:1,97,86,1h 55m,win,015,대한항공
77,2018.12.03,KB손해보험,3:1,103,94,2h 06m,win,015,대한항공
114,2018.12.29,KB손해보험,2:3,107,100,2h 14m,lose,015,대한항공
147,2019.01.25,KB손해보험,2:3,112,103,2h 17m,lose,015,대한항공
195,2019.02.25,KB손해보험,3:1,100,89,2h 04m,win,015,대한항공
1,2018.10.13,현대캐피탈,0:3,64,75,1h 21m,lose,015,대한항공
51,2018.11.16,현대캐피탈,3:1,94,85,1h 48m,win,015,대한항공
91,2018.12.13,현대캐피탈,3:1,94,90,1h 53m,win,015,대한항공
133,2019.01.10,현대캐피탈,1:3,85,101,1h 58m,lose,015,대한항공
160,2019.02.03,현대캐피탈,2:3,105,97,2h 08m,lose,015,대한항공
185,2019.02.18,현대캐피탈,3:0,78,65,1h 32m,win,015,대한항공
223,2019.03.22,현대캐피탈,2:3,107,118,2h 29m,lose,015,대한항공
225,2019.03.24,현대캐피탈,2:3,110,101,2h 24m,lose,015,대한항공
227,2019.03.26,현대캐피탈,1:3,91,105,2h 11m,lose,015,대한항공
6,2018.10.19,한국전력,3:1,102,84,1h 55m,win,015,대한항공
40,2018.11.08,한국전력,3:2,107,103,2h 10m,win,015,대한항공
103,2018.12.22,한국전력,3:1,97,74,1h 41m,win,015,대한항공
110,2018.12.25,한국전력,3:2,111,92,2h 12m,win,015,대한항공
172,2019.02.10,한국전력,3:2,106,100,2h 11m,win,015,대한항공
204,2019.03.03,한국전력,3:1,99,91,2h 06m,win,015,대한항공
31,2018.11.03,OK금융그룹,2:3,96,113,2h 04m,lose,015,대한항공
44,2018.11.11,OK금융그룹,3:0,75,60,1h 22m,win,015,대한항공
95,2018.12.16,OK금융그룹,1:3,93,96,1h 53m,lose,015,대한항공
139,2019.01.14,OK금융그룹,2:3,109,102,2h 10m,lose,015,대한항공
153,2019.01.29,OK금융그룹,3:1,91,87,1h 47m,win,015,대한항공
216,2019.03.11,OK금융그룹,2:3,87,106,1h 46m,lose,015,대한항공
10,2018.10.22,우리카드,3:0,75,59,1h 19m,win,015,대한항공
71,2018.11.29,우리카드,2:3,112,109,2h 23m,lose,015,대한항공
85,2018.12.09,우리카드,3:2,102,98,2h 01m,win,015,대한항공
129,2019.01.07,우리카드,3:2,107,106,2h 16m,win,015,대한항공
166,2019.02.06,우리카드,3:0,75,62,1h 33m,win,015,대한항공
210,2019.03.07,우리카드,3:0,78,66,1h 28m,win,015,대한항공
18,2018.10.27,대한항공,1:3,91,100,1h 54m,lose,015,삼성화재
64,2018.11.25,대한항공,0:3,56,75,1h 19m,lose,015,삼성화재
81,2018.12.06,대한항공,3:1,92,92,1h 57m,win,015,삼성화재
124,2019.01.04,대한항공,2:3,107,112,2h 17m,lose,015,삼성화재
180,2019.02.15,대한항공,2:3,101,105,2h 09m,lose,015,삼성화재
190,2019.02.22,대한항공,1:3,77,94,1h 50m,lose,015,삼성화재
30,2018.11.02,KB손해보험,3:2,112,105,2h 19m,win,015,삼성화재
42,2018.11.10,KB손해보험,3:0,80,63,1h 26m,win,015,삼성화재
93,2018.12.15,KB손해보험,3:2,113,99,2h 10m,win,015,삼성화재
130,2019.01.08,KB손해보험,3:1,104,82,1h 53m,win,015,삼성화재
169,2019.02.08,KB손해보험,1:3,87,98,1h 53m,lose,015,삼성화재
212,2019.03.09,KB손해보험,3:0,77,71,1h 29m,win,015,삼성화재
7,2018.10.20,현대캐피탈,1:3,89,98,1h 59m,lose,015,삼성화재
47,2018.11.13,현대캐피탈,3:2,103,104,2h 13m,win,015,삼성화재
102,2018.12.21,현대캐피탈,1:3,99,101,2h 00m,lose,015,삼성화재
112,2018.12.27,현대캐피탈,3:1,102,96,2h 07m,win,015,삼성화재
156,2019.01.31,현대캐피탈,0:3,64,77,1h 25m,lose,015,삼성화재
196,2019.02.26,현대캐피탈,1:3,77,99,1h 50m,lose,015,삼성화재
12,2018.10.23,한국전력,3:1,98,89,1h 53m,win,015,삼성화재
54,2018.11.18,한국전력,3:2,111,102,2h 19m,win,015,삼성화재
87,2018.12.10,한국전력,3:1,101,100,2h 00m,win,015,삼성화재
140,2019.01.15,한국전력,3:0,75,63,1h 26m,win,015,삼성화재
162,2019.02.04,한국전력,3:0,76,63,1h 23m,win,015,삼성화재
186,2019.02.19,한국전력,3:0,75,58,1h 29m,win,015,삼성화재
24,2018.10.30,OK금융그룹,0:3,74,83,1h 31m,lose,015,삼성화재
37,2018.11.06,OK금융그룹,1:3,91,101,1h 56m,lose,015,삼성화재
108,2018.12.24,OK금융그룹,3:0,78,67,1h 24m,win,015,삼성화재
134,2019.01.11,OK금융그룹,0:3,66,78,1h 26m,lose,015,삼성화재
148,2019.01.26,OK금융그룹,2:3,103,99,1h 59m,lose,015,삼성화재
207,2019.03.05,OK금융그룹,3:1,94,78,1h 39m,win,015,삼성화재
2,2018.10.14,우리카드,3:1,111,106,2h 16m,win,015,삼성화재
60,2018.11.22,우리카드,3:2,104,99,2h 03m,win,015,삼성화재
75,2018.12.02,우리카드,1:3,91,91,1h 53m,lose,015,삼성화재
118,2018.12.31,우리카드,1:3,87,99,1h 49m,lose,015,삼성화재
175,2019.02.12,우리카드,1:3,75,98,1h 44m,lose,015,삼성화재
202,2019.03.02,우리카드,3:0,75,54,1h 18m,win,015,삼성화재
4,2018.10.16,대한항공,0:3,66,78,1h 27m,lose,015,KB손해보험
56,2018.11.19,대한항공,1:3,86,97,1h 55m,lose,015,KB손해보험
77,2018.12.03,대한항공,1:3,94,103,2h 06m,lose,015,KB손해보험
114,2018.12.29,대한항공,3:2,100,107,2h 14m,win,015,KB손해보험
147,2019.01.25,대한항공,3:2,103,112,2h 17m,win,015,KB손해보험
195,2019.02.25,대한항공,1:3,89,100,2h 04m,lose,015,KB손해보험
30,2018.11.02,삼성화재,2:3,105,112,2h 19m,lose,015,KB손해보험
42,2018.11.10,삼성화재,0:3,63,80,1h 26m,lose,015,KB손해보험
93,2018.12.15,삼성화재,2:3,99,113,2h 10m,lose,015,KB손해보험
130,2019.01.08,삼성화재,1:3,82,104,1h 53m,lose,015,KB손해보험
169,2019.02.08,삼성화재,3:1,98,87,1h 53m,win,015,KB손해보험
212,2019.03.09,삼성화재,0:3,71,77,1h 29m,lose,015,KB손해보험
36,2018.11.05,현대캐피탈,0:3,61,78,1h 28m,lose,015,KB손해보험
61,2018.11.23,현대캐피탈,2:3,111,114,2h 27m,lose,015,KB손해보험
83,2018.12.08,현대캐피탈,0:3,57,75,1h 22m,lose,015,KB손해보험
137,2019.01.13,현대캐피탈,1:3,104,108,2h 12m,lose,015,KB손해보험
174,2019.02.11,현대캐피탈,3:1,98,89,1h 56m,win,015,KB손해보험
206,2019.03.04,현대캐피탈,3:2,122,119,2h 34m,win,015,KB손해보험
20,2018.10.28,한국전력,3:1,97,81,1h 51m,win,015,KB손해보험
50,2018.11.15,한국전력,3:1,93,79,1h 46m,win,015,KB손해보험
98,2018.12.18,한국전력,2:3,100,112,2h 16m,lose,015,KB손해보험
125,2019.01.05,한국전력,3:2,110,104,2h 18m,win,015,KB손해보험
152,2019.01.28,한국전력,3:2,104,98,2h 09m,win,015,KB손해보험
199,2019.02.28,한국전력,3:1,97,81,1h 46m,win,015,KB손해보험
8,2018.10.21,OK금융그룹,1:3,81,92,1h 46m,lose,015,KB손해보험
72,2018.11.30,OK금융그룹,1:3,82,91,1h 50m,lose,015,KB손해보험
88,2018.12.11,OK금융그룹,3:1,107,103,2h 05m,win,015,KB손해보험
119,2019.01.01,OK금융그룹,3:0,75,61,1h 23m,win,015,KB손해보험
164,2019.02.05,OK금융그룹,3:0,79,68,1h 28m,win,015,KB손해보험
183,2019.02.17,OK금융그룹,3:2,104,111,2h 20m,win,015,KB손해보험
15,2018.10.25,우리카드,3:1,106,86,2h 03m,win,015,KB손해보험
66,2018.11.26,우리카드,0:3,67,77,1h 33m,lose,015,KB손해보험
105,2018.12.23,우리카드,1:3,81,96,1h 52m,lose,015,KB손해보험
143,2019.01.17,우리카드,0:3,65,77,1h 27m,lose,015,KB손해보험
158,2019.02.02,우리카드,0:3,63,77,1h 28m,lose,015,KB손해보험
189,2019.02.21,우리카드,3:1,96,86,1h 50m,win,015,KB손해보험
1,2018.10.13,대한항공,3:0,75,64,1h 21m,win,015,현대캐피탈
51,2018.11.16,대한항공,1:3,85,94,1h 48m,lose,015,현대캐피탈
91,2018.12.13,대한항공,1:3,90,94,1h 53m,lose,015,현대캐피탈
133,2019.01.10,대한항공,3:1,101,85,1h 58m,win,015,현대캐피탈
160,2019.02.03,대한항공,3:2,97,105,2h 08m,win,015,현대캐피탈
185,2019.02.18,대한항공,0:3,65,78,1h 32m,lose,015,현대캐피탈
223,2019.03.22,대한항공,3:2,118,107,2h 29m,win,015,현대캐피탈
225,2019.03.24,대한항공,3:2,101,110,2h 24m,win,015,현대캐피탈
227,2019.03.26,대한항공,3:1,105,91,2h 11m,win,015,현대캐피탈
7,2018.10.20,삼성화재,3:1,98,89,1h 59m,win,015,현대캐피탈
47,2018.11.13,삼성화재,2:3,104,103,2h 13m,lose,015,현대캐피탈
102,2018.12.21,삼성화재,3:1,101,99,2h 00m,win,015,현대캐피탈
112,2018.12.27,삼성화재,1:3,96,102,2h 07m,lose,015,현대캐피탈
156,2019.01.31,삼성화재,3:0,77,64,1h 25m,win,015,현대캐피탈
196,2019.02.26,삼성화재,3:1,99,77,1h 50m,win,015,현대캐피탈
36,2018.11.05,KB손해보험,3:0,78,61,1h 28m,win,015,현대캐피탈
61,2018.11.23,KB손해보험,3:2,114,111,2h 27m,win,015,현대캐피탈
83,2018.12.08,KB손해보험,3:0,75,57,1h 22m,win,015,현대캐피탈
137,2019.01.13,KB손해보험,3:1,108,104,2h 12m,win,015,현대캐피탈
174,2019.02.11,KB손해보험,1:3,89,98,1h 56m,lose,015,현대캐피탈
206,2019.03.04,KB손해보험,2:3,119,122,2h 34m,lose,015,현대캐피탈
28,2018.11.01,한국전력,3:2,102,92,1h 58m,win,015,현대캐피탈
67,2018.11.27,한국전력,3:2,113,107,2h 17m,win,015,현대캐피탈
73,2018.12.01,한국전력,3:1,93,83,1h 46m,win,015,현대캐피탈
116,2018.12.30,한국전력,3:0,75,55,1h 21m,win,015,현대캐피탈
168,2019.02.07,한국전력,0:3,63,75,1h 24m,lose,015,현대캐피탈
191,2019.02.23,한국전력,3:0,78,63,1h 27m,win,015,현대캐피탈
17,2018.10.26,OK금융그룹,3:0,79,63,1h 27m,win,015,현대캐피탈
57,2018.11.20,OK금융그룹,3:2,110,98,2h 09m,win,015,현대캐피탈
78,2018.12.04,OK금융그룹,3:0,75,63,1h 24m,win,015,현대캐피탈
127,2019.01.06,OK금융그룹,3:2,116,113,2h 27m,win,015,현대캐피탈
179,2019.02.14,OK금융그룹,3:0,78,65,1h 24m,win,015,현대캐피탈
200,2019.03.01,OK금융그룹,3:0,75,56,1h 18m,win,015,현대캐피탈
23,2018.10.29,우리카드,0:3,68,75,1h 28m,lose,015,현대캐피탈
41,2018.11.09,우리카드,3:2,117,101,2h 22m,win,015,현대캐피탈
97,2018.12.17,우리카드,3:0,75,46,1h 13m,win,015,현대캐피탈
123,2019.01.03,우리카드,3:2,106,103,2h 18m,win,015,현대캐피탈
150,2019.01.27,우리카드,0:3,63,75,1h 27m,lose,015,현대캐피탈
214,2019.03.10,우리카드,2:3,88,108,2h 01m,lose,015,현대캐피탈
218,2019.03.16,우리카드,3:2,109,97,2h 18m,win,015,현대캐피탈
220,2019.03.18,우리카드,3:0,82,64,1h 32m,win,015,현대캐피탈
6,2018.10.19,대한항공,1:3,84,102,1h 55m,lose,015,한국전력
40,2018.11.08,대한항공,2:3,103,107,2h 10m,lose,015,한국전력
103,2018.12.22,대한항공,1:3,74,97,1h 41m,lose,015,한국전력
110,2018.12.25,대한항공,2:3,92,111,2h 12m,lose,015,한국전력
172,2019.02.10,대한항공,2:3,100,106,2h 11m,lose,015,한국전력
204,2019.03.03,대한항공,1:3,91,99,2h 06m,lose,015,한국전력
12,2018.10.23,삼성화재,1:3,89,98,1h 53m,lose,015,한국전력
54,2018.11.18,삼성화재,2:3,102,111,2h 19m,lose,015,한국전력
87,2018.12.10,삼성화재,1:3,100,101,2h 00m,lose,015,한국전력
140,2019.01.15,삼성화재,0:3,63,75,1h 26m,lose,015,한국전력
162,2019.02.04,삼성화재,0:3,63,76,1h 23m,lose,015,한국전력
186,2019.02.19,삼성화재,0:3,58,75,1h 29m,lose,015,한국전력
20,2018.10.28,KB손해보험,1:3,81,97,1h 51m,lose,015,한국전력
50,2018.11.15,KB손해보험,1:3,79,93,1h 46m,lose,015,한국전력
98,2018.12.18,KB손해보험,3:2,112,100,2h 16m,win,015,한국전력
125,2019.01.05,KB손해보험,2:3,104,110,2h 18m,lose,015,한국전력
152,2019.01.28,KB손해보험,2:3,98,104,2h 09m,lose,015,한국전력
199,2019.02.28,KB손해보험,1:3,81,97,1h 46m,lose,015,한국전력
28,2018.11.01,현대캐피탈,2:3,92,102,1h 58m,lose,015,한국전력
67,2018.11.27,현대캐피탈,2:3,107,113,2h 17m,lose,015,한국전력
73,2018.12.01,현대캐피탈,1:3,83,93,1h 46m,lose,015,한국전력
116,2018.12.30,현대캐피탈,0:3,55,75,1h 21m,lose,015,한국전력
168,2019.02.07,현대캐피탈,3:0,75,63,1h 24m,win,015,한국전력
