경기 No.,경기일자,상대팀,세트스코어,득점,실점,경기시간,승패,시즌,홈팀
191,2022.02.09,현대캐피탈,3:0,75,59,1h 26m,win,018,KB손해보험
215,2022.03.10,현대캐피탈,3:1,103,86,2h 08m,win,018,KB손해보험
13,2021.10.23,한국전력,1:3,90,93,2h 00m,lose,018,KB손해보험
63,2021.11.21,한국전력,0:3,62,75,1h 29m,lose,018,KB손해보험
125,2021.12.28,한국전력,3:1,104,98,2h 17m,win,018,KB손해보험
159,2022.01.16,한국전력,2:3,109,112,2h 28m,lose,018,KB손해보험
196,2022.02.12,한국전력,2:3,104,106,2h 13m,lose,018,KB손해보험
237,2022.03.30,한국전력,1:3,99,100,2h 04m,lose,018,KB손해보험
239,2022.04.03,한국전력,3:1,98,76,2h 00m,win,018,KB손해보험
17,2021.10.26,OK금융그룹,1:3,84,90,1h 56m,lose,018,KB손해보험
81,2021.12.02,OK금융그룹,3:1,94,94,2h 10m,win,018,KB손해보험
117,2021.12.23,OK금융그룹,2:3,107,108,2h 28m,lose,018,KB손해보험
131,2021.12.31,OK금융그룹,3:0,88,77,1h 42m,win,018,KB손해보험
179,2022.02.02,OK금융그룹,0:3,65,75,1h 36m,lose,018,KB손해보험
223,2022.03.18,OK금융그룹,3:1,114,107,2h 36m,win,018,KB손해보험
37,2021.11.06,우리카드,3:0,78,67,1h 33m,win,018,KB손해보험
45,2021.11.11,우리카드,2:3,109,108,2h 22m,lose,018,KB손해보험
95,2021.12.10,우리카드,3:1,95,84,1h 51m,win,018,KB손해보험
151,2022.01.12,우리카드,1:3,79,95,1h 48m,lose,018,KB손해보험
185,2022.02.05,우리카드,3:0,75,58,1h 23m,win,018,KB손해보험
219,2022.03.14,우리카드,3:2,106,103,2h 18m,win,018,KB손해보험
19,2021.10.27,대한항공,3:2,103,101,2h 11m,win,018,현대캐피탈
43,2021.11.10,대한항공,1:3,90,94,1h 51m,lose,018,현대캐피탈
97,2021.12.11,대한항공,0:3,59,75,1h 26m,lose,018,현대캐피탈
129,2021.12.30,대한항공,0:3,65,79,1h 32m,lose,018,현대캐피탈
183,2022.02.04,대한항공,1:3,90,97,2h 01m,lose,018,현대캐피탈
218,2022.03.13,대한항공,0:3,62,75,1h 36m,lose,018,현대캐피탈
35,2021.11.05,삼성화재,3:0,76,54,1h 18m,win,018,현대캐피탈
49,2021.11.13,삼성화재,1:3,75,98,1h 53m,lose,018,현대캐피탈
115,2021.12.22,삼성화재,3:0,75,63,1h 27m,win,018,현대캐피탈
155,2022.01.14,삼성화재,3:0,75,61,1h 28m,win,018,현대캐피탈
