한국도로공사,KGC인삼공사,흥국생명,GS 칼텍스,IBK기업은행,페퍼저축은행,현대건설
0,5,3,5,1,0,5
0,0,3,3,3,0,4
2,2,0,4,1,0,4
1,2,1,0,2,0,3
4,3,5,3,0,0,4
0,0,0,0,0,0,0
0,1,2,3,1,0,0
