대한항공,삼성화재,KB손해보험,현대캐피탈,한국전력,OK금융그룹,우리카드
0,1,2,6,0,4,1
5,0,1,4,0,4,3
4,5,0,4,1,2,4
3,2,2,0,1,0,3
6,6,5,5,0,5,5
2,2,4,6,1,0,4
5,3,2,5,1,2,0
