대한항공,삼성화재,KB손해보험,현대캐피탈,한국전력,OK금융그룹,우리카드
0,2,3,1,2,1,2
2,0,2,3,2,4,2
2,2,0,1,4,3,2
4,2,4,0,3,2,1
2,3,1,1,0,2,5
4,1,2,3,3,0,1
3,3,3,4,0,3,0
