한국도로공사,KGC인삼공사,흥국생명,GS 칼텍스,IBK기업은행,페퍼저축은행,현대건설
0,4,4,6,2,0,1
2,0,5,4,4,0,2
2,1,0,6,3,0,3
0,2,3,0,2,0,3
4,2,6,4,0,0,2
0,0,0,0,0,0,0
5,4,3,3,4,0,0
