대한항공,삼성화재,KB손해보험,현대캐피탈,한국전력,OK금융그룹,우리카드
0,1,2,2,0,1,2
5,0,1,3,1,4,5
3,4,0,6,2,3,5
3,2,0,0,2,1,5
5,5,3,3,0,5,5
4,1,3,4,1,0,3
3,0,1,1,0,2,0
