한국도로공사,상대전적,KGC인삼공사,시즌,흥국생명,GS 칼텍스,IBK 기업은행,페퍼저축은행
4위(13승 17패),* 상대전적 : 55승 61패 * 시즌전적 : 4승 2패,5위(13승 17패),017,,,,
,VS 구단 선택 KGC인삼공사 흥국생명,,017,,,,
,* 상대전적 : 50승 61패 * 시즌전적 : 1승 5패,5위(13승 17패),017,2위(19승 11패),,,
,VS 구단 선택 KGC인삼공사 GS 칼텍스,,017,,,,
,* 상대전적 : 57승 60패 * 시즌전적 : 2승 4패,5위(13승 17패),017,,1위(20승 10패),,
,VS 구단 선택 KGC인삼공사 IBK기업은행,,017,,,,
,* 상대전적 : 21승 48패 * 시즌전적 : 2승 4패,5위(13승 17패),017,,,3위(14승 16패),
,VS 구단 선택 KGC인삼공사 페퍼저축은행,,017,,,,
,* 상대전적 : 6승 0패 * 시즌전적 : 0승 0패,5위(13승 17패),017,,,,0위(0승 0패)
,VS 구단 선택 흥국생명 한국도로공사,,017,,,,
4위(13승 17패),* 상대전적 : 63승 62패 * 시즌전적 : 4승 2패,,017,2위(19승 11패),,,
,VS 구단 선택 흥국생명 KGC인삼공사,,017,,,,
,* 상대전적 : 61승 50패 * 시즌전적 : 5승 1패,5위(13승 17패),017,2위(19승 11패),,,
,VS 구단 선택 흥국생명 GS 칼텍스,,017,,,,
,* 상대전적 : 61승 61패 * 시즌전적 : 3승 6패,,017,2위(19승 11패),1위(20승 10패),,
,VS 구단 선택 흥국생명 IBK기업은행,,017,,,,
,* 상대전적 : 27승 46패 * 시즌전적 : 6승 3패,,017,2위(19승 11패),,3위(14승 16패),
,VS 구단 선택 흥국생명 페퍼저축은행,,017,,,,
,* 상대전적 : 4승 1패 * 시즌전적 : 0승 0패,,017,2위(19승 11패),,,0위(0승 0패)
,VS 구단 선택 GS 칼텍스 한국도로공사,,017,,,,
4위(13승 17패),* 상대전적 : 58승 56패 * 시즌전적 : 6승 0패,,017,,1위(20승 10패),,
,VS 구단 선택 GS 칼텍스 KGC인삼공사,,017,,,,
,* 상대전적 : 60승 57패 * 시즌전적 : 4승 2패,5위(13승 17패),017,,1위(20승 10패),,
,VS 구단 선택 GS 칼텍스 흥국생명,,017,,,,
,* 상대전적 : 61승 61패 * 시즌전적 : 6승 3패,,017,2위(19승 11패),1위(20승 10패),,
,VS 구단 선택 GS 칼텍스 IBK기업은행,,017,,,,
,* 상대전적 : 31승 42패 * 시즌전적 : 4승 2패,,017,,1위(20승 10패),3위(14승 16패),
,VS 구단 선택 GS 칼텍스 페퍼저축은행,,017,,,,
,* 상대전적 : 5승 0패 * 시즌전적 : 0승 0패,,017,,1위(20승 10패),,0위(0승 0패)
,VS 구단 선택 IBK기업은행 한국도로공사,,017,,,,
4위(13승 17패),* 상대전적 : 30승 40패 * 시즌전적 : 2승 4패,,017,,,3위(14승 16패),
,VS 구단 선택 IBK기업은행 KGC인삼공사,,017,,,,
,* 상대전적 : 48승 21패 * 시즌전적 : 4승 2패,5위(13승 17패),017,,,3위(14승 16패),
,VS 구단 선택 IBK기업은행 흥국생명,,017,,,,
,* 상대전적 : 46승 27패 * 시즌전적 : 3승 6패,,017,2위(19승 11패),,3위(14승 16패),
,VS 구단 선택 IBK기업은행 GS 칼텍스,,017,,,,
,* 상대전적 : 42승 31패 * 시즌전적 : 2승 4패,,017,,1위(20승 10패),3위(14승 16패),
,VS 구단 선택 IBK기업은행 페퍼저축은행,,017,,,,
,* 상대전적 : 3승 2패 * 시즌전적 : 0승 0패,,017,,,3위(14승 16패),0위(0승 0패)
,VS 구단 선택 페퍼저축은행 한국도로공사,,017,,,,
4위(13승 17패),* 상대전적 : 0승 5패 * 시즌전적 : 0승 0패,,017,,,,0위(0승 0패)
,VS 구단 선택 페퍼저축은행 KGC인삼공사,,017,,,,
,* 상대전적 : 0승 6패 * 시즌전적 : 0승 0패,5위(13승 17패),017,,,,0위(0승 0패)
,VS 구단 선택 페퍼저축은행 흥국생명,,017,,,,
,* 상대전적 : 1승 4패 * 시즌전적 : 0승 0패,,017,2위(19승 11패),,,0위(0승 0패)
,VS 구단 선택 페퍼저축은행 GS 칼텍스,,017,,,,
,* 상대전적 : 0승 5패 * 시즌전적 : 0승 0패,,017,,1위(20승 10패),,0위(0승 0패)
,VS 구단 선택 페퍼저축은행 IBK기업은행,,017,,,,
,* 상대전적 : 2승 3패 * 시즌전적 : 0승 0패,,017,,,3위(14승 16패),0위(0승 0패)
,2022년 01월 16일(일) 16시 / 김천실내  VS 구단 선택 한국도로공사 KGC인삼공사,,018,,,,
2위(24승 8패),* 상대전적 : 61승 55패 * 시즌전적 : 4승 1패,4위(15승 17패),018,,,,
,2022년 03월 05일(토) 16시 / 김천실내  VS 구단 선택 한국도로공사 흥국생명,,018,,,,
2위(24승 8패),* 상대전적 : 62승 63패 * 시즌전적 : 6승 0패,,018,6위(10승 23패),,,
,2022년 01월 29일(토) 16시 / 김천실내  VS 구단 선택 한국도로공사 GS 칼텍스,,018,,,,
2위(24승 8패),* 상대전적 : 56승 58패 * 시즌전적 : 3승 2패,,018,,3위(20승 11패),,
,2021년 12월 31일(금) 19시 / 김천실내  VS 구단 선택 한국도로공사 IBK기업은행,,018,,,,
2위(24승 8패),* 상대전적 : 40승 30패 * 시즌전적 : 4승 1패,,018,,,5위(11승 21패),
,2022년 02월 27일(일) 16시 / 김천실내  VS 구단 선택 한국도로공사 페퍼저축은행,,018,,,,
2위(24승 8패),* 상대전적 : 5승 0패 * 시즌전적 : 5승 0패,,018,,,,7위(3승 28패)
,2022년 02월 21일(월) 19시 / 대전충무  VS 구단 선택 KGC인삼공사 한국도로공사,,018,,,,
2위(24승 8패),* 상대전적 : 55승 61패 * 시즌전적 : 1승 4패,4위(15승 17패),018,,,,
,2022년 01월 07일(금) 19시 / 대전충무  VS 구단 선택 KGC인삼공사 흥국생명,,018,,,,
,* 상대전적 : 50승 61패 * 시즌전적 : 2승 3패,4위(15승 17패),018,6위(10승 23패),,,
,2022년 01월 13일(목) 19시 / 대전충무  VS 구단 선택 KGC인삼공사 GS 칼텍스,,018,,,,
,* 상대전적 : 57승 60패 * 시즌전적 : 2승 3패,4위(15승 17패),018,,3위(20승 11패),,
,2022년 01월 30일(일) 16시 / 대전충무  VS 구단 선택 KGC인삼공사 IBK기업은행,,018,,,,
,* 상대전적 : 21승 48패 * 시즌전적 : 3승 3패,4위(15승 17패),018,,,5위(11승 21패),
,2022년 03월 03일(목) 19시 / 대전충무  VS 구단 선택 KGC인삼공사 페퍼저축은행,,018,,,,
,* 상대전적 : 6승 0패 * 시즌전적 : 6승 0패,4위(15승 17패),018,,,,7위(3승 28패)
,2022년 02월 05일(토) 16시 / 인천삼산월드  VS 구단 선택 흥국생명 한국도로공사,,018,,,,
2위(24승 8패),* 상대전적 : 63승 62패 * 시즌전적 : 0승 6패,,018,6위(10승 23패),,,
,2022년 02월 08일(화) 19시 / 인천삼산월드  VS 구단 선택 흥국생명 KGC인삼공사,,018,,,,
,* 상대전적 : 61승 50패 * 시즌전적 : 3승 2패,4위(15승 17패),018,6위(10승 23패),,,
,2022년 03월 21일(월) 19시 / 인천삼산월드  VS 구단 선택 흥국생명 GS 칼텍스,,018,,,,
