한국도로공사,KGC인삼공사,흥국생명,GS 칼텍스,IBK기업은행,페퍼저축은행,현대건설
0,1,5,3,3,0,2
5,0,6,5,4,0,4
5,0,0,3,2,0,0
6,1,3,0,3,0,1
3,2,4,3,0,0,2
0,0,0,0,0,0,0
4,2,6,5,4,0,0
