대한항공,삼성화재,KB손해보험,현대캐피탈,한국전력,OK금융그룹,우리카드
0,0,2,1,3,1,5
6,0,4,5,3,6,6
4,2,0,0,4,4,4
5,1,6,0,3,4,2
3,3,2,3,0,3,4
5,0,3,2,3,0,6
6,0,2,4,2,2,0
