한국도로공사,KGC인삼공사,흥국생명,GS 칼텍스,IBK기업은행,페퍼저축은행,현대건설
0,2,0,2,3,0,2
4,0,3,4,5,0,2
6,3,0,4,5,0,4
4,2,2,0,5,0,3
6,1,1,1,0,0,4
0,0,0,0,0,0,0
4,4,2,3,5,0,0
