경기 No.,경기일자,상대팀,세트스코어,득점,실점,경기시간,승패,시즌,홈팀
41,2020.11.13,IBK기업은행,2:3,91,108,2h 06m,lose,17,KGC인삼공사
76,2020.12.06,IBK기업은행,3:0,77,65,1h 27m,win,17,KGC인삼공사
121,2021.01.09,IBK기업은행,3:0,75,61,1h 20m,win,17,KGC인삼공사
156,2021.02.03,IBK기업은행,0:3,56,75,1h 22m,lose,17,KGC인삼공사
191,2021.03.07,IBK기업은행,2:3,107,112,2h 23m,lose,17,KGC인삼공사
시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,17,KGC인삼공사
22,2020.10.31,한국도로공사,3:2,101,107,2h 19m,win,17,흥국생명
45,2020.11.15,한국도로공사,3:1,90,87,1h 53m,win,17,흥국생명
86,2020.12.13,한국도로공사,0:3,70,78,1h 27m,lose,17,흥국생명
127,2021.01.13,한국도로공사,3:2,114,106,2h 24m,win,17,흥국생명
168,2021.02.11,한국도로공사,0:3,42,75,1h 08m,lose,17,흥국생명
190,2021.03.06,한국도로공사,3:1,97,86,1h 55m,win,17,흥국생명
12,2020.10.24,KGC인삼공사,3:1,101,94,1h 55m,win,17,흥국생명
69,2020.12.02,KGC인삼공사,3:1,93,81,1h 38m,win,17,흥국생명
102,2020.12.25,KGC인삼공사,3:2,110,102,2h 11m,win,17,흥국생명
137,2021.01.20,KGC인삼공사,3:0,79,71,1h 32m,win,17,흥국생명
179,2021.02.19,KGC인삼공사,3:1,97,82,1h 51m,win,17,흥국생명
196,2021.03.13,KGC인삼공사,0:3,49,75,1h 13m,lose,17,흥국생명
7,2020.10.21,GS 칼텍스,3:1,110,100,2h 13m,win,17,흥국생명
38,2020.11.11,GS 칼텍스,3:2,113,106,2h 20m,win,17,흥국생명
74,2020.12.05,GS 칼텍스,2:3,97,105,2h 10m,lose,17,흥국생명
144,2021.01.26,GS 칼텍스,3:1,98,88,1h 55m,win,17,흥국생명
159,2021.02.05,GS 칼텍스,0:3,49,75,1h 17m,lose,17,흥국생명
187,2021.02.28,GS 칼텍스,1:3,80,97,1h 51m,lose,17,흥국생명
224,2021.03.26,GS 칼텍스,0:3,49,75,1h 17m,lose,17,흥국생명
226,2021.03.28,GS 칼텍스,0:3,57,75,1h 20m,lose,17,흥국생명
228,2021.03.30,GS 칼텍스,2:3,102,101,2h 12m,lose,17,흥국생명
32,2020.11.07,IBK기업은행,3:0,75,57,1h 23m,win,17,흥국생명
61,2020.11.27,IBK기업은행,3:0,75,52,1h 18m,win,17,흥국생명
92,2020.12.18,IBK기업은행,3:0,75,60,1h 17m,win,17,흥국생명
134,2021.01.17,IBK기업은행,3:0,75,53,1h 17m,win,17,흥국생명
174,2021.02.16,IBK기업은행,0:3,41,75,1h 11m,lose,17,흥국생명
184,2021.02.24,IBK기업은행,0:3,68,75,1h 24m,lose,17,흥국생명
218,2021.03.20,IBK기업은행,3:1,98,84,1h 52m,win,17,흥국생명
220,2021.03.22,IBK기업은행,1:3,70,97,1h 42m,lose,17,흥국생명
222,2021.03.24,IBK기업은행,3:0,75,44,1h 12m,win,17,흥국생명
시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,17,흥국생명
30,2020.11.06,한국도로공사,3:0,75,55,1h 19m,win,17,GS 칼텍스
63,2020.11.28,한국도로공사,3:1,98,78,1h 50m,win,17,GS 칼텍스
106,2020.12.27,한국도로공사,3:2,110,106,2h 27m,win,17,GS 칼텍스
123,2021.01.10,한국도로공사,3:0,76,69,1h 35m,win,17,GS 칼텍스
176,2021.02.17,한국도로공사,3:0,76,55,1h 20m,win,17,GS 칼텍스
183,2021.02.21,한국도로공사,3:2,100,102,2h 15m,win,17,GS 칼텍스
24,2020.11.01,KGC인삼공사,1:3,85,93,1h 52m,lose,17,GS 칼텍스
57,2020.11.24,KGC인삼공사,3:2,109,95,2h 07m,win,17,GS 칼텍스
89,2020.12.16,KGC인삼공사,3:1,93,92,2h 01m,win,17,GS 칼텍스
130,2021.01.15,KGC인삼공사,3:1,98,75,1h 50m,win,17,GS 칼텍스
172,2021.02.14,KGC인삼공사,3:0,80,71,1h 35m,win,17,GS 칼텍스
200,2021.03.16,KGC인삼공사,1:3,86,96,1h 47m,lose,17,GS 칼텍스
7,2020.10.21,흥국생명,1:3,100,110,2h 13m,lose,17,GS 칼텍스
38,2020.11.11,흥국생명,2:3,106,113,2h 20m,lose,17,GS 칼텍스
74,2020.12.05,흥국생명,3:2,105,97,2h 10m,win,17,GS 칼텍스
144,2021.01.26,흥국생명,1:3,88,98,1h 55m,lose,17,GS 칼텍스
159,2021.02.05,흥국생명,3:0,75,49,1h 17m,win,17,GS 칼텍스
187,2021.02.28,흥국생명,3:1,97,80,1h 51m,win,17,GS 칼텍스
224,2021.03.26,흥국생명,3:0,75,49,1h 17m,win,17,GS 칼텍스
226,2021.03.28,흥국생명,3:0,75,57,1h 20m,win,17,GS 칼텍스
228,2021.03.30,흥국생명,3:2,101,102,2h 12m,win,17,GS 칼텍스
